time,size,
24.2,8471,P
24.267,8268,P
24.333,11945,P
24.4,3840,P
24.467,3905,P
24.533,4307,P
24.6,4717,P
24.667,5287,P
24.733,5891,P
24.8,6732,P
24.867,7497,P
24.933,10761,P
25,5181,P
25.067,4623,P
25.133,4906,P
25.2,5086,P
25.267,4789,P
25.333,5661,P
25.4,5974,P
25.467,5684,P
25.533,7610,P
25.6,4371,P
25.667,3561,P
25.733,3644,P
25.8,4177,P
25.867,3916,P
25.933,4094,P
26,73742,I
26.067,5513,P
26.133,10258,P
26.2,6205,P
26.267,6002,P
26.333,6105,P
26.4,6072,P
26.467,5720,P
26.533,6088,P
26.6,5679,P
26.667,5703,P
26.733,11868,P
26.8,9146,P
26.867,7001,P
26.933,6413,P
27,5322,P
27.067,4709,P
27.133,3770,P
27.2,3175,P
27.267,2996,P
27.333,4028,P
27.4,2751,P
27.467,2534,P
27.533,2447,P
27.6,2316,P
27.667,2650,P
27.733,2480,P
27.8,2654,P
27.867,2662,P
27.933,3405,P
28,79564,I
28.067,1850,P
28.133,1657,P
28.2,1605,P
28.267,1804,P
28.333,2046,P
28.4,2089,P
28.467,2209,P
28.533,2820,P
28.6,2091,P
28.667,2144,P
28.733,2155,P
28.8,4437,P
28.867,7890,P
28.933,10970,P
29,23702,P
29.067,5469,P
29.133,7415,P
29.2,5048,P
29.267,5211,P
29.333,13374,P
29.4,10206,P
29.467,9520,P
29.533,9538,P
29.6,9909,P
29.667,9954,P
29.733,14110,P
29.8,9490,P
29.867,9011,P
29.933,8402,P
30,99054,I
30.067,6244,P
30.133,5080,P
30.2,4834,P
30.267,4735,P
30.333,7524,P
30.4,5212,P
30.467,5130,P
30.533,5430,P
30.6,5556,P
30.667,5623,P
30.733,5124,P
30.8,5217,P
30.867,5383,P
30.933,7667,P
31,5315,P
31.067,4767,P
31.133,4648,P
31.2,5394,P
31.267,7001,P
31.333,7700,P
31.4,7441,P
31.467,7281,P
31.533,10987,P
31.6,7620,P
31.667,7557,P
31.733,8289,P
31.8,9093,P
31.867,8900,P
31.933,8737,P
32,118340,I
32.067,2213,P
32.133,3348,P
32.2,2501,P
32.267,2307,P
32.333,2206,P
32.4,1864,P
32.467,1991,P
32.533,1851,P
32.6,1739,P
32.667,1832,P
32.733,2282,P
32.8,1541,P
32.867,1253,P
32.933,1232,P
33,1138,P
33.066,1196,P
33.133,1200,P
33.2,1163,P
33.266,1030,P
33.333,1574,P
33.4,1738,P
33.466,977,P
33.533,3588,P
33.6,11418,P
33.666,17404,P
33.733,9209,P
33.8,18944,P
33.866,12187,P
33.933,10692,P
34,139559,I
34.066,3756,P
34.133,2590,P
34.2,2142,P
34.266,2059,P
34.333,2065,P
34.4,1947,P
34.466,2555,P
34.533,2368,P
34.6,2623,P
34.666,2153,P
34.733,1954,P
34.8,2272,P
34.866,2030,P
34.933,1788,P
35,1793,P
35.066,2156,P
35.133,2377,P
35.2,2099,P
35.266,2142,P
35.333,1850,P
35.4,1777,P
35.466,2087,P
35.533,1841,P
35.6,6028,P
35.666,11098,P
35.733,13299,P
35.8,9027,P
35.866,7470,P
35.933,14527,P
36,154422,I
36.066,8496,P
36.133,1738,P
36.2,1324,P
36.266,1624,P
36.333,1713,P
36.4,1530,P
36.466,1738,P
36.533,1664,P
36.6,1568,P
36.666,1736,P
36.733,1599,P
36.8,1533,P
36.866,1699,P
36.933,1868,P
37,1622,P
37.066,1739,P
37.133,1594,P
37.2,1851,P
37.266,1656,P
37.333,1692,P
37.4,1605,P
37.466,1671,P
37.533,1947,P
37.6,5005,P
37.666,10537,P
37.733,9147,P
37.8,12734,P
37.866,26358,P
37.933,6442,P
39.933,4801,P
40,154637,I
40.066,4484,P
40.133,3635,P
40.2,3507,P
40.266,3142,P
40.333,3069,P
40.4,4125,P
40.466,3420,P
40.533,3648,P
40.6,3462,P
40.666,3038,P
40.733,3029,P
40.8,2943,P
40.866,2990,P
40.933,2815,P
41,2846,P
41.066,3018,P
41.133,3338,P
41.2,2975,P
41.266,2984,P
41.333,3608,P
41.4,2760,P
41.466,2758,P
41.533,2775,P
41.6,2866,P
41.666,2870,P
41.733,3251,P
41.8,7620,P
41.866,7499,P
41.933,10051,P
42,154013,I
42.066,9940,P
42.133,3647,P
42.2,3290,P
42.266,3239,P
42.333,3607,P
42.4,3515,P
42.466,3105,P
42.533,2998,P
42.6,2996,P
42.666,3146,P
42.733,2928,P
42.8,2924,P
42.866,3371,P
42.933,3530,P
43,3014,P
43.066,2925,P
43.133,2882,P
43.2,2933,P
43.266,2883,P
43.333,2794,P
43.4,2802,P
43.466,2785,P
43.533,3719,P
43.6,3336,P
43.666,3447,P
43.733,3028,P
43.8,3042,P
43.866,2762,P
43.933,2884,P
